Sentence,Emotion,Cleaned_Sentence
không nên tin bất cứ 1 người nào cả,Other,không nên tin bất_cứ 1 người nào cả
ngửi mùi hoa sữa xong chia tay :),Other,ngửi mùi hoa sữa xong chia_tay icon_vui
ngồi nhiều quá nhìn họ đau mắt,Sadness,ngồi nhiều quá nhìn họ đau mắt
đéo nổi . ngày lol nào đi làm về đã mệt rồi . gặp bà nội ở nhà giận với chả hờn còn hơn khách hàng nữa . đụ mẹ mệt mỏi vcllll,Anger,đéo nổi ngày lol nào đi làm về đã mệt rồi gặp bà nội ở nhà giận với chả hờn còn hơn khách_hàng nữa đụ_mẹ mệt_mỏi vcl
thấy cờ rút trên tờ polime là tim rụng rời liền,Enjoyment,thấy cờ rút trên tờ polime là tim rụng_rời liền
hôm qua tao cũng xem chục lần :))) bài đếch gì hay vãi :)))))),Enjoyment,hôm_qua tao cũng xem chục lần icon_vui bài đếch gì hay vãi icon_vui
những trường như thế cho giải tán . cấm tuyển dụng luôn .,Anger,những trường như thế cho giải_tán cấm tuyển_dụng luôn
per xem cái này đi tao coi phần 1 rồi này phần 2 tiếp nè,Other,per xem cái này đi tao coi phần 1 rồi này phần 2 tiếp nè
đội cái mũ vào chết đéo ai . không có mũ xong đập đầu xuống đất chết không chết cho lại sống cuộc đời nửa ngáo,Disgust,đội cái mũ vào chết đéo ai không có mũ xong đập đầu xuống đất chết không chết cho lại sống cuộc_đời nửa ngáo
"thớt này chụp kém vãi , 1 khung cảnh mà chụp tận 3 bức , 3 in 1",Disgust,thớt này chụp kém vãi 1 khung_cảnh mà chụp tận 3 bức 3 in 1
điều hối tiếc nhất cấp 3 là chưa kí lên áo của nhau 😢,Sadness,điều hối_tiếc nhất cấp 3 là chưa kí lên áo của nhau icon_buon
buồn thật ấy,Sadness,buồn thật ấy
lũ người nhu nhược :),Disgust,lũ người nhu_nhược_icon_vui
thông minh 😂,Enjoyment,thông_minh icon_vui
"kệ mẹ tao , tao thích nuôi chó thôi okeeee nó đéo bao giờ kêu tao bướng",Anger,kệ mẹ tao tao thích nuôi chó thôi oke nó đéo bao_giờ kêu tao bướng
bên trung về mảng tuyên truyền đỉnh ghê luôn á,Surprise,bên trung về mảng tuyên_truyền đỉnh ghê luôn á
e thắc mắc là cố gắng 1 năm mà rủi ro khách hàng hay bên nhà sx dây không cảm động là ăn cám ạ 😌,Sadness,e thắc_mắc là cố_gắng 1 năm mà rủi_ro khách_hàng hay bên nhà sx dây không cảm_động là ăn_cám ạ
có gì đó sai sai ??,Surprise,có gì đó sai sai
em nghĩ chị em mình cần tìm hiểu quen biết nhau ạ ^^,Other,em nghĩ chị_em mình cần tìm_hiểu quen_biết nhau ạ icon_vui
dume đọc bình luận bực giùm chủ thớt :))),Anger,dume đọc bình_luận bực giùm chủ thớt icon_vui
gắp đúng lúc nhưng hình như đúng lúc người ta không muốn y ai ???? đó là 1 câu chuyện buồn,Sadness,gắp đúng lúc nhưng hình_như đúng lúc người_ta không muốn y ai đó là 1 câu_chuyện buồn
t thề với mày là tối thấy cái này chắc đái con mẹ nó ra quần,Fear,tao thề với mày là tối thấy cái này chắc đái con_mẹ nó ra quần
đợi em đủ tuổi anh chờ được không ?,Other,đợi em đủ tuổi anh chờ được không
đừng cứ đổ thừa cho ngành đường sất khi có quá nhiều anh não bé .,Disgust,đừng cứ đổ_thừa cho ngành đường sất khi có quá nhiều anh não bé
chúng ta nên làm như vậy từ lâu mới phải,Enjoyment,chúng_ta nên làm như_vậy từ lâu mới_phải
đéo hiểu sao có đứa nghĩ là cứ chơi với nhiều trai là bị sờ soạn kiến thức hạn hẹp vãi cậu ạ,Anger,đéo hiểu sao có đứa nghĩ là cứ chơi với nhiều trai là bị sờ soạn kiến_thức hạn_hẹp vãi cậu ạ
per muốn coi cái khúc vẩy xong rồi dừng lại làm sao ấy . kkkkk,Enjoyment,per muốn coi cái khúc vẩy xong rồi dừng lại làm_sao ấy k
mua con lợn 50k được lì xì 40k . ok em ổn,Sadness,mua con lợn 50k được lì_xì 40k ok em ổn
"mấy bạn nào có ý định tổ chức sn nv thì tém tém lại síu đi , nếu thích tổ chức sn kiểu nv ở đâu cũng vậy khi ra về làm ơn bo cho nv dọn phòng đó 200 300k gì đó cho có tình người síu nha 😂",Disgust,mấy bạn nào có ý_định tổ_chức sn nv thì tém tém lại síu đi nếu thích tổ_chức sn kiểu nv ở đâu cũng vậy khi ra về làm_ơn bo cho nv dọn phòng đó 200 300k gì đó cho có_tình người síu nha_icon_vui
per coi phim này chắc chết luôn trong rạp,Fear,per coi phim này chắc chết luôn trong rạp
"nó quan tâm mày thì mày đừng vội mừng là nó thích mày , nó chơi chán rồi nó bỏ thôi .",Disgust,nó quan_tâm mày thì mày đừng vội mừng là nó thích mày nó chơi chán rồi nó bỏ thôi
dân chơi nhìn cái biết ngay 🤣🤣,Enjoyment,dân_chơi nhìn cái biết ngay icon_vui icon_vui
phá làng phá xóm,Disgust,phá làng phá xóm
t nhận ra mình đã sai,Sadness,tao nhận ra mình đã sai
30s mặc niệm bắt đầu ...,Sadness,30s mặc_niệm bắt_đầu
mặc váy kìa . thời trang ? hiện đại quá,Surprise,mặc váy kìa thời_trang hiện_đại quá
con thương ông quá,Sadness,con thương ông quá
nhìn mặt con chó tội vãi,Sadness,nhìn mặt con chó tội vãi
tu mà không dám cao đầu mà sau gọi là tu còn dám súc phạm vong linh người khác bà này là súc vật,Disgust,tu mà không dám cao đầu mà sau gọi là tu còn dám súc phạm vong_linh người khác bà này là súc_vật
biết ngay anh per lại mượn đầm của vợ :)))),Enjoyment,biết ngay anh per lại mượn đầm của vợ icon_vui
đắt hơn sân bay luôn,Surprise,đắt hơn sân_bay luôn
cmm lộ hết thông tin của người ta,Disgust,cmm lộ hết thông_tin của người_ta
đã nguy hiểm vậy sao không hủy mà bán 0 . 0,Fear,đã nguy_hiểm_vậy sao không_hủy mà bán 0 0
bán không thu thuế luôn à,Surprise,bán không thu thuế luôn à
t chỉ thấy tình yêu của tao nó tan vỡ thôi,Sadness,tao chỉ thấy tình_yêu của tao nó tan_vỡ thôi
per :)))) buồn cười vãi,Enjoyment,per icon_vui buồn_cười vãi
thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy,Anger,thế 1 đứa con_trai bỏ thời_gian ra nói_chuyện thân_thiết với 1 đứa con_gái không phải là nó thích con đó thì có con cặc nó làm vậy
chưa khi mô biết cảm giác đi nhởi trung thu với người yêu như răng,Sadness,chưa khi mô biết cảm_giác đi nhởi trung_thu với người_yêu như răng
móng này móc cua thì đỉnh 😹,Enjoyment,móng này móc cua thì đỉnh
có mưa cảm giác như được sống lại :))),Enjoyment,có mưa cảm_giác như được sống lại icon_vui
mà nó đéo ' quan tâm thì càng đừng nghĩ nó thích mình nha :vậy,Disgust,mà nó đéo quan_tâm thì càng đừng nghĩ nó thích mình nha vậy
vợ dùng phá quá nên boss mới thế 🤧🤧🤧,Other,vợ dùng phá quá nên boss mới thế
haha biết ngây mà,Enjoyment,haha biết ngây mà
bể mẹ cái kính cường lực mới dán :#,Sadness,bể mẹ cái kính cường_lực mới dán
dù đúng hay sai cũng đừng bao giờ cãi nhau với con gáo đến cuối cùng mày vẫn sai .,Other,dù đúng hay sai cũng đừng bao_giờ cãi nhau với con gáo đến cuối_cùng mày vẫn sai
"cần gì xa hoa đâu , thế này là hạnh phúc , thấy thương và ngưỡng mộ ông bà quá",Enjoyment,cần gì xa_hoa đâu thế này là hạnh_phúc thấy thương và ngưỡng_mộ ông_bà quá
sao nhanh như chớp vậy được,Surprise,sao nhanh như chớp vậy được
nhỏ không dạy để lớn lên làm đĩ à ? phụ huynh kiểu gì thế ?,Anger,nhỏ không dạy để lớn lên làm đĩ à phụ_huynh kiểu gì thế
thằng kia làm nhẹ nhẹ thôi nhé .,Other,thằng kia làm nhẹ nhẹ thôi nhé
no ́ xâ ́ u tao thi ̀...,Disgust,no ́ xâ ́ u tao thi ̀
thế là đã phần nào đoán được kết quả cuộc gặp tại hà nội,Other,thế_là đã phần_nào đoán được kết_quả cuộc gặp tại hà_nội
bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa :)),Sadness,bạn đã hiểu nổi khổ của mario khi mua_vui cho bạn chưa icon_vui
cái đất nước này loạn luân mẹ hết rồi :))),Disgust,cái đất_nước này loạn_luân mẹ hết rồi icon_vui
"ôi zồi ôi , nhìn cái mặt của ẻm kìa , yêu ghê :))",Enjoyment,ôi zồi ôi nhìn cái mặt của ẻm kìa yêu ghê_icon_vui
phố mày co ́ đô ̀ người nghiê ̣ p tô ́ tao ghê :))),Other,phố mày co ́ đô ̀ người nghiê ̣ p tô ́ tao ghê icon_vui
per haha bữa 3 đứa mới phong trào xong,Other,per haha bữa 3 đứa mới phong_trào xong
mốc từ trong trứng,Other,mốc từ trong trứng
"truy tố ra tòa chứ phạt hành chính gì ??? lừa đảo có tổ chức số tiền trăm tỷ , thêm tội truyền bá mê tín dị đoan ... 👎👎👎",Anger,truy_tố ra tòa chứ phạt hành_chính gì lừa_đảo có tổ_chức số tiền trăm tỷ thêm tội truyền_bá mê_tín dị_đoan
xem tới đây dume ứa nước mắt 😞,Sadness,xem tới đây dume ứa nước_mắt icon_buon
toàn “ nam thanh nữ tú ” mở mồm ra nói hay như sách giáo khoa . hành động thì như con c ..,Anger,toàn nam thanh nữ tú mở mồm ra nói hay như sách giáo_khoa hành_động thì như con c
thân là người yêu mình mong cậu có thể giống được như đôi mặc áo nâu ❤️,Enjoyment,thân là người_yêu mình mong cậu có_thể giống được như đôi mặc áo nâu
😑 sao cái kết gì mà buồn vậy,Sadness,sao cái kết gì mà buồn_vậy
cô ơi nhiệt tình là tốt nhưng bản thân phải an toàn trước 😗,Other,cô ơi nhiệt_tình là tốt nhưng bản_thân phải an_toàn trước
"nói mưa là mưa v chời , tôi còn đi chơi đi học nữa mừ .",Sadness,nói mưa là mưa v chời tôi còn đi chơi đi học nữa mừ
"1 vị đắng của mưu sinh , 1 vị ngọt của hạnh phúc gia đình",Other,1 vị đắng của mưu_sinh 1 vị ngọt của hạnh_phúc gia_đình
per xinh nhỉ :)) ngày xưa cũng xem phim này mà không để ý có cả bả,Enjoyment,per xinh nhỉ icon_vui ngày_xưa cũng xem phim này mà không để_ý có cả bả
"bởi đây là lý do tao không muốn xem điện thoại người yêu , nếu không nó xanh cỏ lâu rồi 😑",Disgust,bởi đây là lý_do tao không muốn xem điện_thoại người_yêu nếu không nó xanh cỏ lâu rồi
còn gì hạnh phúc hơn trong cuộc sống này ♥️,Enjoyment,còn gì hạnh_phúc hơn trong cuộc_sống này
ai cũng từng bị bố mẹ chửi mắng . em ấy cũng vậy . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được . chả bằng được cái đứa con nít còn tỏ vẻ ta đây,Anger,ai cũng từng bị bố_mẹ chửi_mắng em ấy cũng vậy là người_lớn chúng_ta lắng_nghe và chia_sẻ nhiều người già rồi mà_phát_ngôn xấc_xược láo_toét mất_dạy không_thể chấp_nhận được chả bằng được cái đứa con_nít còn tỏ_vẻ ta_đây
thớt làm chị mà ích kỉ vãi ...,Disgust,thớt làm chị mà ích_kỉ vãi
mấy thanh niên ngu học theo ngôn tình thấy chai bé không viết hết được lại mua chai 1 . 8 lít thì hơi mệt đấy 😂😂😊,Disgust,mấy thanh_niên ngu học theo ngôn tình thấy chai bé không viết hết được lại mua chai 1 8 lít thì hơi mệt đấy icon_vui icon_vui icon_vui
tuổi thơ của tôi =)),Enjoyment,tuổi_thơ của tôi
việt nam cái gì cũng có thể ăn được,Other,việt nam cái gì cũng có_thể ăn được
per đang ăn mà sao cứ chỉa trym vô hoài z khắm s ăn 🙂,Disgust,per đang ăn mà sao cứ chỉa trym vô hoài gì khắm sao ăn icon_vui
khóc muốn rơi cả mắt,Sadness,khóc muốn rơi cả mắt
kích thích vãi,Enjoyment,kích_thích vãi
ám ảnh thật sự,Fear,ám_ảnh thật_sự
per huhu em không biết phải đi xem phim với ai nữa 😭,Sadness,per huhu em không biết phải đi xem phim với ai nữa icon_buon
per gần nhà c ơi . hic hic,Sadness,per gần nhà c ơi hic hic
"tại cái gậy thôi , còn đâu là vẫn đẹp",Other,tại cái gậy thôi còn đâu là vẫn đẹp
"cái thằng adim này mày xàm quá oy đấy , biến khỏi trang tao nhé",Anger,cái thằng adim này mày xàm quá oy đấy biến khỏi trang tao nhé
đã sợ nhện rồi mà gặp thằng admin chơi trò mất nết :((,Anger,đã sợ nhện rồi mà gặp thằng admin chơi trò mất_nết icon_buon
nhờ cái bếp như này . mà hồi nhỏ tao suýt đốt cả nhà và bị chửi đó :((,Sadness,nhờ cái bếp như này mà hồi nhỏ tao suýt đốt cả nhà và bị chửi đó icon_buon
"hốt về cháu có bón được cơm , mớm được sữa cho nó mỗi ngày không ?? nó chơi game cháu có rửa chân bón cơm để nó chơi nốt ván không ???? mai cô ship tận giường nuôn",Disgust,hốt về cháu có bón được cơm mớm được sữa cho nó mỗi ngày không nó chơi game cháu có rửa chân bón cơm để nó chơi nốt ván không mai cô ship tận giường nuôn
đọc tin nhắn đầu thấy cay cay ngay mũi,Sadness,đọc tin nhắn đầu thấy cay cay ngay_mũi
per người yêu công sở nè 😂😂,Enjoyment,per người_yêu công_sở nè icon_vui icon_vui
vậy là hên rồi,Enjoyment,vậy là hên rồi
per chiều anh bắn chưởng để em quay nhé,Other,per chiều anh bắn chưởng để em quay nhé
per nghe chưa nhân viên mới ... kk,Enjoyment,per nghe chưa nhân_viên mới kk
ngáo nó có cắn đâu ??????,Other,ngáo nó có cắn đâu
dị ứng với kiểu nhắn tin riêng tư mà cả thế giới đều biết,Disgust,dị_ứng với kiểu nhắn_tin riêng_tư mà cả thế_giới đều biết
cười ỉa 😂😂 thây nó thét mà tao nghĩ dọn xong nó đi luôn cái cổ họng,Enjoyment,cười ỉa icon_vui icon_vui thây nó thét mà tao nghĩ dọn xong nó đi luôn cái cổ_họng
"em rất duyên , và có khiếu hài hước , nhìn mặt em thôi là chị đã muốn cười , ba mẹ chửi mà vẫn vui tươi như vậy thì đáng khích lệ mà , sao nhiều người bình luận nặng lời thế không biết , chỉ là vui thôi mà",Disgust,em rất duyên và có khiếu hài_hước nhìn mặt em thôi là chị đã muốn cười ba mẹ chửi mà vẫn vui_tươi như_vậy thì đáng khích_lệ mà sao nhiều người bình_luận nặng_lời thế không biết chỉ là vui thôi mà
"má nó , mặc dù không có ý kì thị nhưng dume cảnh 2 thằng hôn nhau buông nôn vãi",Disgust,má nó mặc_dù không có ý kì_thị nhưng dume cảnh 2 thằng hôn nhau buông nôn_vãi
per lên lịch hẹn hò nhanh,Enjoyment,per lên lịch hẹn_hò nhanh
không biết chuyện gia đình người ta nhưng nhình mặt bà cũng thảo là thấy không có cảm tình ngay từ đầu .... mà nhờ bài viết này mới biết king coffee là của bả ... phải công nhận là nó uống dở thiệt .....,Disgust,không biết chuyện gia_đình người_ta nhưng nhình mặt bà cũng thảo là thấy không có cảm_tình ngay từ đầu mà nhờ bài viết này mới biết king coffee là của bả phải công_nhận là nó uống dở_thiệt
nóng thế này cái thứ mày cho cũng không ăn,Disgust,nóng thế này cái thứ mày cho cũng không ăn
tiếc quá ! nguyên nhân,Sadness,tiếc quá nguyên_nhân
ấm lòng vãi huhu,Enjoyment,ấm lòng vãi huhu
thế không tính vậy thì muốn cái bệnh viện thành mẹ cái bãi giữ xe à :)),Anger,thế không tính vậy thì muốn cái bệnh_viện thành mẹ cái bãi giữ xe à icon_vui
ngầu vãi lìn luôn á :))),Enjoyment,ngầu vãi lìn luôn á icon_vui
giờ tao mới hiểu được hết những gì mà trước đây đọc bình luận tao đéo ’ hiểu 😂😂😂,Enjoyment,giờ tao mới hiểu được hết những gì mà trước đây đọc bình_luận tao đéo hiểu icon_vui icon_vui icon_vui
"lớp 2 xí mót được cái chong chóng , bán lại cho thằng hàng xóm 500d .",Enjoyment,lớp 2 xí mót được cái chong_chóng bán lại cho thằng hàng_xóm 500d
tôi khóc lun ... huhu,Sadness,tôi khóc lun huhu
má như người yêu ??,Enjoyment,má như người_yêu
t chưa được rơi vào hoàn cảnh này nên cũng không biết nữa,Other,tao chưa được rơi vào hoàn_cảnh này nên cũng không biết nữa
thề chứ .. phim nay xem đi xem lại không thấy chán ... vẫn như mớinxem vậy,Enjoyment,thề chứ phim nay xem đi xem_lại không thấy chán vẫn như mớinxem_vậy
không biết vì sao họ vẫn cười nhưng mình thì khóc ...,Sadness,không biết vì_sao họ vẫn cười nhưng mình thì khóc
cho đi luôn bớt lo,Other,cho đi luôn bớt lo
đoạn phim thôi mà ý nghĩa thế,Surprise,đoạn phim thôi mà ý_nghĩa_thế
"lông xấu , không mượt bằng con ngu kia được",Disgust,lông xấu không mượt bằng con ngu kia được
"cái này gọi là truyền thống , không thể nói là quên được",Other,cái này gọi là truyền_thống không_thể nói là quên được
"đấy ... y đâu cần phải to tác , phải gào lên cho cả thế giới biết .",Other,đấy y đâu cần phải to tác phải gào lên cho cả thế_giới biết
per haha sao tôi nghĩ tới em liền luôn á,Enjoyment,per haha sao tôi nghĩ tới em liền luôn á
chưa chia tay nữa mà còn khó đây,Other,chưa chia_tay nữa mà còn khó đây
thế đéo nào nó lại kẻ dưới đấy nhỉ,Disgust,thế đéo nào nó lại kẻ dưới đấy nhỉ
oai đéo gì cái trêu gái :),Disgust,oai đéo gì cái trêu gái icon_vui
mình nghĩ bà thảo chiếm được công tình yêu là sẽ bán ngay cổ phần cho đại gia bên thái lan nào đó .. mong là chuyện này không bao giờ xảy ra,Other,mình nghĩ bà thảo chiếm được công tình_yêu là sẽ bán ngay cổ_phần cho đại_gia bên thái lan nào đó mong là chuyện này không bao_giờ xảy ra
lâu lâu lại mong mất điện để nấu cơm rác . nk mát 1 tí . chứ cứ 42 độ có mà khỏi ăn,Other,lâu_lâu lại mong mất điện để nấu cơm rác nk mát 1 tí chứ cứ 42 độ có mà khỏi ăn
tội nghiệp thằng bé :)))) chúng mày bốc đâu mấy cái thẻ hay thế ??? :v,Sadness,tội_nghiệp thằng bé icon_vui chúng_mày bốc đâu mấy cái thẻ hay thế v
áp dụng với đứa yêu mày thôi nha,Other,áp_dụng với đứa yêu mày thôi nha
chời má . ngọt chết tao rồi :)))))),Enjoyment,chời má ngọt chết tao rồi icon_vui
"per đó là lý do tại sao em luôn nói với anh , có gì cũng phải nói ra",Fear,per đó là lý_do tại_sao em luôn nói với anh có gì cũng phải nói ra
"phải em thì dume nó chửi thé thì đéo cần nói nhiều nữa . gọi c . an xuống kéo mẹ nó xe đi , kiểu gì cũng mệt thôi bác .",Anger,phải em thì dume nó chửi thé thì đéo cần nói nhiều nữa gọi c an xuống kéo mẹ nó xe đi kiểu gì cũng mệt thôi bác
xài vietcombank sinh nhật cũng không được chúc luôn :((,Sadness,xài vietcombank sinh_nhật cũng không được chúc luôn icon_buon
hôm đấy bổn cung về quê báo hiếu cha mẹ .,Enjoyment,hôm đấy bổn cung về quê báo_hiếu cha_mẹ
chỉ có được cái chữ đẹp . hihihi ...,Enjoyment,chỉ có được cái chữ đẹp hihihi
trời má cute vãi lozzzz,Enjoyment,trời má cute vãi loz
là do bản thân tao ngu thôi,Sadness,là do bản_thân tao ngu thôi
cho chúng vào nhà đá ! quá độc ác không giết người bằng súng như thế này là giết hàng loat đấy thât khốn nạn,Anger,cho chúng vào nhà_đá quá độc_ác không giết người bằng súng như thế này là giết hàng loat đấy thât khốn_nạn
không biết nói sao ... nghiện chuẩn mẹ rồi ... crush ợ . mà nó nhẫn tâm lắm hồi trước còn hay call video . từ hôm tao cạo trọc y như là mất tích luôn . chắc phải để tóc mọc lại tao mới dám gọi . 🤭,Enjoyment,không biết nói sao nghiện chuẩn mẹ rồi crush ợ mà nó nhẫn_tâm lắm hồi trước còn hay call video từ hôm tao cạo trọc y_như là mất_tích luôn chắc phải để tóc mọc lại tao mới dám gọi
nhân quả đến sớm lắm . đăng lên làm gì :))),Other,nhân_quả đến sớm lắm đăng lên làm gì icon_vui
nhìn cái bà này tôi chỉ muốn xoạc bà 1 cái . sao bà không là con trai nhỉ . ông trời quá là trêu người rồi,Sadness,nhìn cái bà này tôi chỉ muốn xoạc bà 1 cái sao bà không là con_trai nhỉ ông trời quá là trêu người rồi
cho dù em có dành được bao nhiêu học bổng đi chăng nữa nhưng mãi mãi em sẽ không thể có được tôi 😅,Enjoyment,cho_dù em có dành được bao_nhiêu học_bổng đi chăng_nữa nhưng mãi_mãi em sẽ không_thể có được tôi icon_vui
đã xem 2 lần bộ phim này 😁,Enjoyment,đã xem 2 lần bộ phim này icon_vui
"ôi vãi , mày thật bất hạnh vì có lũ bạn như thế",Sadness,ôi vãi mày thật bất_hạnh vì có lũ bạn như_thế
"đây là tây chứ mấy thằng việt nam như này , đảm bảo kêu ngáo đá :vậy",Disgust,đây là tây chứ mấy thằng việt_nam như này đảm_bảo kêu ngáo đá vậy
xin lỗi đây mình vẫn nấu nhé,Enjoyment,xin_lỗi đây mình vẫn nấu nhé
bỏ quên não đó chứ đâu phải rác 😂,Disgust,bỏ quên não đó chứ đâu phải rác icon_vui
"phim này quá hay . xem đi xem lại mãi không chán . đặt tay lên ngực "" mọi chuyện đều ổn "" câu nói kinh điển",Enjoyment,phim này quá hay xem đi xem_lại mãi không chán đặt tay lên ngực mọi chuyện đều ổn câu nói kinh_điển
"thôi xong , biết thế tém tém lại .",Fear,thôi xong biết thế tém tém lại
"gym thì liên quan cặc gì đến bede , tuy gym nhưng người ta còn siêng tập nặng hơn mấy tụi bây nhé",Anger,gym thì liên_quan cặc gì đến bede tuy gym nhưng người_ta còn siêng tập nặng hơn mấy tụi bây nhé
mình bình luận chủ yếu muốn khoe mình là fan cứng thôi :)) các bạn không cần để ý,Enjoyment,mình bình_luận chủ_yếu muốn khoe mình là fan cứng thôi icon_vui các bạn không cần để_ý
bất cái con cặc . 21 cái trung thu tao vẫn 1 mình . tao có thấy bất hạnh đâu . khẩu nghiệp,Anger,bất_cái con cặc 21 cái trung_thu tao vẫn 1 mình tao có thấy bất_hạnh đâu khẩu_nghiệp
số tao không được ăn uống mà :((,Sadness,số tao không được ăn_uống mà icon_buon
rửa bát cũng được nấu cơm cũng được giặt quần áo cũng được miễn là có ba mẹ vợ con là được . làm gì cũng được,Other,rửa bát cũng được nấu cơm cũng được giặt quần_áo cũng được miễn_là có ba mẹ vợ_con là được làm gì cũng được
dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((,Disgust,dume cho vào bảo_tàng làm lồn gì nhà khoa hc đã nghiên_cứu sừng tê_giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê icon_buon
cô quét đi cô cho cháu hốt về với =))),Enjoyment,cô quét đi cô cho cháu hốt về với
"tránh xa nó ra , nó ngáo đó , 8h sáng mà nó đòi đi ngủ là hiểu rồi",Disgust,tránh xa nó ra nó ngáo đó 8h sáng mà nó đòi đi ngủ là hiểu rồi
hỏi nhiều nó lại cho vào đối tượng truy nã 😏,Other,hỏi nhiều nó lại cho vào đối_tượng truy_nã
per nhớ lại vẫn còn tức á cái lol mẹ,Anger,per nhớ lại vẫn còn tức á cái lol mẹ
lo tương lai bị bỏ rơi của chú đi :vậy,Other,lo tương_lai bị bỏ_rơi của chú đi vậy
và sếp tốt có thể giúp ta vui vẻ từ sáng thứ hai cho đến tối chủ nhật 😀,Enjoyment,và sếp tốt có_thể giúp ta vui_vẻ từ sáng thứ hai cho đến tối chủ_nhật icon_vui
lại tạo điều kiện cho mấy chị fa vào thả thính . :)),Enjoyment,lại tạo điều_kiện cho mấy chị fa vào thả thính icon_vui
muốn nhai luôn cả trái đất,Anger,muốn nhai luôn cả trái_đất
"per lại nhớ chiều nay , buồn cười sấp mặt luôn . :v dù mệt nhưng ngày nào tan làm cũng muốn được đèo đưa đi ăn kem , ăn đồ chua , ăn miến trộn như hôm nay cerrrr :v",Enjoyment,per lại nhớ chiều nay buồn_cười sấp_mặt luôn v dù mệt nhưng ngày nào tan làm cũng muốn được đèo đưa đi ăn kem ăn đồ chua ăn miến trộn như hôm_nay cer v
không ngờ tin nhắn riêng tư cũng phải kiêng nể nhắn tin để lỡ có bị chụp vẫn thấy chả sao,Fear,không ngờ tin nhắn riêng_tư cũng phải kiêng_nể nhắn_tin để lỡ có bị chụp vẫn thấy chả sao
tao cũng ước mình có 1 tình yêu như ông bà ❤,Enjoyment,tao cũng ước mình có 1 tình_yêu như ông_bà
đau đớn quá sao phải tham mấy đồng tiền đó nhỉ,Sadness,đau_đớn quá sao phải tham mấy đồng_tiền đó nhỉ
quả này lại là nhà dột từ nóc rồi ;((,Disgust,quả này lại là nhà dột từ nóc rồi
"mong là chuyện không có thật , chứ có thật thì đau lòng vãi ra 😪😪",Sadness,mong là chuyện không có thật chứ có thật thì đau_lòng vãi ra
per nguy hiểm luôn rình rập xung quanh chúng ta :((,Fear,per nguy_hiểm luôn rình_rập xung_quanh chúng_ta icon_buon
trắc đấy là nyc của nó 🤣,Enjoyment,trắc đấy là nyc của nó icon_vui
đừng hỏi tại sao giới tính cứ bị bẻ cong,Other,đừng hỏi tại_sao giới_tính cứ bị bẻ cong
khóc hết nước mắt 😞😞,Sadness,khóc hết nước_mắt icon_buon icon_buon
đúng là chó cậy chủ mà 🤣,Disgust,đúng là chó cậy chủ mà icon_vui
chấp nhận đi mày .. chửi gì dữ vậy ..! mỗi người mổ việc mà ... nếu không thích thì kiếm việc khác mà làm ..,Disgust,chấp_nhận đi mày chửi gì dữ vậy mỗi người mổ việc mà nếu không thích thì kiếm việc khác mà làm
":))) ở đoạn đó hồi năm nhất tao "" được "" họ lấy 100k , vì sáng sớm đem duy nhất 100k trong túi , thế là nộp luôn :))))",Sadness,icon_vui ở đoạn đó hồi năm nhất tao được họ lấy 100k vì sáng sớm đem duy_nhất 100k trong túi thế_là nộp luôn icon_vui
per đọc nhầm con nhện thành con gián :)) thật khó hiểu,Other,per đọc nhầm con nhện thành con gián icon_vui thật khó hiểu
may mà bà già bảo năm hạn đừng đi chứ không hạn thật,Other,may mà bà_già bảo năm hạn đừng đi chứ không hạn thật
cái giống mắc zại nhất từng thấy :)),Disgust,cái giống mắc zại nhất từng thấy icon_vui
bắn cái lũ khốn nặn kia ra . mấy ông bà lại ăn cho lắm tiền vào . để cả 1 thế hệ trẻ em bệnh tật . làm cho ra lẽ đi . bọn này bắn cmm nó đi . quá là ác,Anger,bắn cái lũ khốn nặn kia ra mấy ông_bà lại ăn cho lắm tiền vào để cả 1 thế_hệ trẻ_em bệnh_tật làm cho ra lẽ đi bọn này bắn cmm nó đi quá là ác
đéo có não à,Disgust,đéo có não à
"không biết bác dạy ra sao mà đến nỗi . còn tao dạy nhận tiền mặt , dạy 10 ngày là phụ huynh trả luôn tiền tháng đó chứ không có nhập nhằng gì hết",Disgust,không biết bác dạy ra sao mà đến_nỗi còn tao dạy nhận tiền_mặt dạy 10 ngày là phụ_huynh trả luôn tiền tháng đó chứ không có nhập_nhằng gì hết
"thực ra bị bóc trên mạng thì thường là bẩn thỉu , không phân quê quán",Other,thực_ra bị bóc trên mạng thì thường là bẩn_thỉu không phân quê_quán
ôi không đọc được bài của chị thì em vẫn tin tưởng cái group đấy lắm,Disgust,ôi không đọc được bài của chị thì em vẫn tin_tưởng cái group đấy lắm
